V1,V2,V3,V4,V5,V6
130.934046268199,364.560077570138,303.350247279227,304.806805328737,312.385627918882,335.483804637242
130.670737876579,409.810212576617,303.376829986705,304.603654994084,284.93660829643,333.466715012158
133.795877228681,368.779707126968,303.47110554906,308.89059990602,303.996758571028,335.094802072875
130.358344074651,382.610418519116,303.325859219017,306.445200700033,288.660544248352,334.555896817496
132.678348656018,384.555825189507,303.447412551364,301.568656000151,280.96140770019,334.560122797684
131.167961096315,382.809229203944,303.379605329511,304.055407036057,296.087769897337,334.978998236013
130.476221385863,362.761185237322,303.344730428852,302.076783036199,293.53756036333,335.235828877692
133.29439785638,379.199348115146,303.500092133925,305.031404953063,290.574812320372,334.489035027217
132.520846091963,377.209553102115,303.402382712925,305.613629686183,289.70975777955,335.023997206545
131.442058852421,376.0794516647,303.365203319782,308.952414248663,300.149496336935,335.061510229052
133.033908059604,371.317172702143,303.415248661771,305.720392722091,287.046741553545,334.222724699818
131.392712739137,398.108027613205,303.42197824275,303.713752304942,278.389855915383,334.488064611626
130.065868397966,390.195814737645,303.317085696628,300.459216779866,276.563183260857,334.987499343517
132.864979522961,388.521882601299,303.453209065124,303.046008859532,280.612186147193,334.39124051808
131.415050045409,389.027309728507,303.367399841236,304.018846523719,285.797151158399,334.820276346809
132.488792858112,383.438831837313,303.482000288876,304.213525704939,299.067376284749,334.193367298694
131.977256910129,380.69455769439,303.412024064466,303.413932596787,301.327403947197,335.367234443874
131.256014689839,393.72506135879,303.441005252779,304.419185428859,290.797461961491,334.989439620148
131.2432693991,379.402571272043,303.3944727994,301.661057954639,303.649346350077,335.180397028821
129.053098114828,367.072158185468,303.335989000387,306.49241759188,297.811869422348,334.63578210142
133.362836459477,374.748846368583,303.463881198414,300.183289420918,290.985739347792,335.580016476467
132.451816670693,356.001860942183,303.456795600429,304.947630461055,295.977340828783,335.132580397929
130.219774502667,385.344401750005,303.309649824226,304.850754474677,288.955283466809,334.34596032189
130.373185651838,398.494790670125,303.430872712022,300.933697829097,289.915166847947,334.381193687474
132.685938749539,365.801475780661,303.429951505062,306.445890603412,292.81614011638,334.795061300134
131.549894709102,391.963333770136,303.387358700963,301.591596232423,290.571482785985,334.612083001236
131.63256352802,401.807946562855,303.386428191236,299.239205399068,296.902572333608,334.109839035407
131.717532272739,362.488827095248,303.391347966613,309.869052599086,309.213636615957,335.2233776167
132.320399540672,385.782496117405,303.434499546325,303.884334908022,291.126282035383,334.863576747178
131.875616955031,409.895175833187,303.394203708543,303.56049706815,288.134135688355,334.026187906932
130.809732663104,388.761035999915,303.358754530444,300.330662431604,292.502605310557,335.03130277045
131.273584722677,396.642803531879,303.361477348562,301.371781111652,291.167716948627,335.068522536277
130.369203769264,386.987377439269,303.32598603144,304.153546063486,299.415258394953,335.267578150301
133.192619201837,387.555205117459,303.505065793294,300.550854354722,293.079522124394,334.811560244175
132.507090256044,392.133950883879,303.455225311689,307.762338171437,312.924825072368,334.158680426214
130.700880123966,374.06049164946,303.372362821571,303.467716557899,292.056778627953,334.538719002563
129.814524753648,402.619064246811,303.343509339938,303.72683224687,294.215732241565,333.480942881986
129.688352893228,398.438174778956,303.330530547179,301.786294582334,289.957459304617,334.645815158931
131.943507850559,378.363674770163,303.343112496688,302.015694214506,301.060211930328,334.739823761956
129.170130901579,396.235584232134,303.306571699022,308.048738052927,291.14392304651,333.881796779975
131.859929132834,383.756687666004,303.438946361358,307.509317292904,296.152918119504,334.723160193957
130.359390610572,383.474832989924,303.339141666045,302.442272915773,292.419612898216,334.53596451009
130.895694255577,368.054520998503,303.385605100722,304.123106830688,294.77697172737,335.392246372814
132.268641748891,371.800644278448,303.458812775053,302.450416278785,307.990903813574,335.611090903185
130.581019188854,375.285703140917,303.311219298312,305.477764844396,294.58528711923,334.594657130132
131.17249663437,401.253583849392,303.33641238317,305.423125976954,300.647669858283,334.477419595933
131.970653868719,386.453178244442,303.423966422721,302.376129103473,297.450163756523,334.565144539091
130.533134801592,393.978178833379,303.352499654514,306.162843758147,280.878094677357,334.796316717538
131.297482255595,401.000821429404,303.376416643532,303.09006484075,292.989306006548,333.973146090936
130.633355798285,387.562949932171,303.36424168951,300.432556452705,297.280181688924,335.231111835988
131.522790067975,405.087457101577,303.400753176115,303.691005295311,289.395170998503,334.476052584343
131.736647667205,377.361470618269,303.395133377616,304.495300398837,295.078238792396,334.89615691666
132.251654737491,394.256209658148,303.446957232128,301.245455708785,281.08269038635,335.335424441637
