"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.66",0.72,0.875,0.515930431866851,0.48,0.625,0.0903696114115064,0.68,0.875,0.477667946032248,0.88,0.625,0.505,0.88,0.625,0.505,0.48,0.375,-0.124336474228319
"result.67",0.8,0.625,0.396314543502133,0.56,0.5,0.0516397779494322,0.6,0.625,0.193649167310371,0.92,0.625,0.571315236013445,0.92,0.75,0.67,0.6,0.875,0.407309139713458
"result.68",0.68,0.625,0.267502695888644,0.6,0.5,0.086710996952412,0.48,0.5,-0.0171498585142509,0.8,0.75,0.5,0.8,0.875,0.601337794302955,0.56,0.5,0.0516397779494322
"result.69",0.6,0.875,0.407309139713458,0.56,0.25,-0.166641023668336,0.52,0.875,0.342508437962027,0.68,0.5,0.160356745147455,0.68,0.5,0.160356745147455,0.48,0.5,-0.0171498585142509
"result.70",0.64,0.25,-0.1,0.68,0.25,-0.065275336576822,0.72,0.375,0.0885879567828298,0.8,0.5,0.288675134594813,0.8,0.5,0.288675134594813,0.88,0.375,0.283333333333333
"result.71",0.84,0.5,0.34,0.76,0.375,0.129903810567666,0.8,0.5,0.288675134594813,0.84,0.625,0.44744645862196,0.84,0.625,0.44744645862196,0.72,0.5,0.2
"result.72",0.84,0.5,0.34,0.52,0.5,0.0171498585142509,0.76,0.5,0.242451250142482,0.88,0.5,0.398348237954329,0.88,0.5,0.398348237954329,0.72,0.625,0.307350428199288
"result.73",0.84,0.375,0.225381239895212,0.8,0.5,0.288675134594813,0.76,0.625,0.35,0.76,0.5,0.242451250142482,0.8,0.5,0.288675134594813,0.68,0.375,0.05
"result.74",0.68,0.25,-0.065275336576822,0.68,0.5,0.160356745147455,0.68,0.5,0.160356745147455,0.88,0.25,0.155379719213471,0.88,0.25,0.155379719213471,0.6,0.625,0.193649167310371
"result.75",0.92,0.375,0.352592439753646,0.76,0.25,0.01,0.8,0.625,0.396314543502133,0.92,0.25,0.223220935861528,0.92,0.375,0.352592439753646,0.8,0.625,0.396314543502133
"result.76",0.8,0.75,0.5,0.48,0.625,0.0903696114115064,0.8,1,0.701646415445623,0.84,0.5,0.34,0.88,0.75,0.606217782649107,0.64,0.625,0.229784141923892
"result.77",0.84,0.25,0.1,0.64,0.5,0.122788122702984,0.68,0.5,0.160356745147455,0.92,0.375,0.352592439753646,0.88,0.375,0.283333333333333,0.76,0.5,0.242451250142482
