OUR,NO-GROUP,SAMPLE,G-LASSO,TIGER,CLIME,POET
111.157569767315,196.434934470396,3387.73635144131,258.41513425359,246.263834399889,249.725618906868,283.406389280537
112.671893813697,186.244321836639,3130.19041414666,258.445476069236,252.247280258012,257.920818000644,283.274192862627
109.43703980468,208.026583850028,3275.15074039363,258.332244107922,249.114954252089,240.680344403129,281.059396837322
112.206346492997,202.740260067548,3076.40245156242,258.435329262988,249.967778268813,258.031061156587,283.083882194232
112.095191681561,196.120648586788,2748.54191190411,258.440674969028,254.03889898438,231.881658050233,282.909138414076
109.724332004384,205.483880123156,2581.36753004833,258.33036662406,247.47614299408,239.453201662251,282.919906529324
113.874091917559,193.548545601519,3117.71644919071,258.577894757662,248.848480387031,240.294901464749,283.589622052244
112.016812478141,201.260316330991,3317.14826995365,258.45527205615,251.416308282373,247.337290803464,282.896213615596
111.16601112696,200.563006203106,2659.52356323648,258.39744234567,254.561574841605,251.378498425763,282.725850601785
110.473255172843,187.493985521761,2742.71045002944,258.376411325864,253.813697902914,237.902323788459,283.419738079286
113.404274692817,187.23760986643,3018.91850560542,258.451055392068,252.133247464187,250.053497407651,283.020219325005
112.202793975145,189.53636724685,2567.369336966,258.459369407649,248.965268828188,242.216001309831,283.676584927852
112.018398989066,189.858147994047,2924.5944424372,258.45115669771,250.010943382101,235.927391445463,282.035711533575
112.129908747405,185.105621163761,2774.8426889152,258.438700642643,247.991512752592,247.43127032189,284.086190327337
111.167548931883,193.109318517983,2738.09346976187,258.384943575507,249.035999043084,248.42934252594,283.395517638718
109.469267200593,200.318132891282,3576.39837178428,258.31785919342,245.408469945442,241.210919877659,283.701244920207
112.391705032408,197.974726105157,2895.63485689821,258.412410648904,245.219210553003,246.976330153107,283.415088454337
111.265232367841,202.541931281128,3136.82246266355,258.377818433115,245.006337123257,240.416812592289,283.767553580157
111.211495734644,189.195406295982,3019.26119700646,258.411543907247,251.090237490729,241.245179834244,283.736284982271
112.535178412758,201.354957833734,2804.36604156743,258.466687737018,249.70961611782,231.177913746065,283.027660279861
111.965061863129,205.128493030173,2828.08420327333,258.44430735981,247.712691480814,244.286521712858,282.241375053385
109.578811762096,188.66085327567,3013.82978831626,258.32973284847,251.429227472012,234.208978490316,282.493568558126
111.561385549513,209.450607060067,2786.68375748896,258.419324679812,247.583632265333,235.928043901517,282.09608493737
110.963376812487,193.811635303753,3335.17689565642,258.378020102944,246.926220246407,237.481041237066,283.049704726066
111.708243092026,192.239099724664,2856.00933742726,258.416995432424,246.090322898957,242.915928156177,284.111275249575
110.862630601064,203.954306690682,3009.28849020072,258.35008855507,252.836213375713,240.610907482707,283.3719966749
112.518270101812,206.965320030806,3156.32775119306,258.483278117146,253.178186676827,232.349634923532,283.221087177799
112.653198259801,194.480886738158,3131.78999383831,258.432467332647,250.971621553336,251.621507467676,282.58792978377
113.303900686357,196.076324436382,2730.85140864382,258.455777100129,249.546679101981,247.974865114535,282.833658965522
111.754578725947,182.061246913226,3168.18082404004,258.419604284848,254.482151093736,234.711020654398,283.50221121087
110.745698632275,208.893569104377,2768.41122515915,258.391007429314,247.651946962481,244.991106855337,282.528734318345
112.907483378541,196.807256910783,2783.29746492366,258.468147127162,251.581023833909,242.192695075626,282.527338399042
111.886335116425,190.481083404907,2650.38778068588,258.412652313876,246.912066191074,249.683803838796,283.282009628127
109.779451689149,198.635116124825,3220.86710713426,258.357902053142,247.37111517704,243.351243452848,282.920250426527
112.08771246613,206.746350080958,2919.19281867292,258.476012126542,248.23211152905,247.522330659767,281.745569992956
113.31987082765,202.948285971808,2956.86739562285,258.525690093285,251.784201843035,244.269735459184,282.928328474798
110.042183871199,194.618169557889,2741.17665602024,258.332515906464,250.974118909261,235.053125435903,282.990797487491
