OUR,NO-GROUP,G-LASSO,TIGER,CLIME,POET
130.994271669338,384.408974506645,303.364702726752,305.426013037696,302.444960059853,335.457543604242
133.344777720814,374.6725409606,303.502308267008,303.293161849484,289.083669907669,335.251389080201
131.898514784511,378.407749708954,303.429868836969,307.344654603578,313.393282672324,334.314053785429
132.106869530065,375.910572475171,303.39455939792,305.823904913638,294.224844388506,334.80693339729
130.411046584413,355.060681118415,303.350663508068,306.990228571796,285.373153163868,335.577801860663
130.19428031722,394.820272902158,303.32339115313,299.642818856864,291.4995901922,334.562669157192
130.928683419625,397.063421285093,303.389271137796,306.289824828935,301.786237318032,334.460289058698
130.374855760715,383.67231768202,303.326953970886,300.132543856908,293.024699730979,335.10008257483
131.427038464797,409.275817558783,303.400604210105,302.288555271494,302.890511789336,334.607665389289
130.478683214352,410.250652910423,303.376273370299,302.31064120382,287.396227926509,333.750800292966
132.49307635461,385.057358033704,303.500364315307,306.051035873923,291.226678456648,334.325189239146
128.562829261338,377.246190027222,303.272641948647,305.036827528516,290.400469294254,334.730508243542
131.535894256099,371.626815067387,303.434737095866,306.126996925524,293.237825351353,334.441649912866
129.830675172503,382.662185526107,303.304657665211,303.254211377512,303.119324180267,334.643433205599
129.521557256805,403.986659490049,303.298261431503,300.624734117192,299.210682520795,335.268974682764
133.839493951052,394.201615413361,303.502627538376,301.870232695375,290.811903471085,334.182739038373
131.616408224739,403.787237659018,303.420739380496,305.305775960254,298.648186330349,333.38599671823
132.031628122537,379.753799981454,303.353330942946,307.243206078822,292.499312801875,334.974491045301
128.344145097878,378.2193526687,303.242837770525,306.299857888435,279.112207329544,334.027781113734
132.097966620314,393.963385628508,303.390191146215,305.447895799265,291.081325146494,334.656502565339
132.754994522178,406.705047302178,303.491325450136,301.961055048435,287.414408856119,334.080226104167
133.357555244264,387.940414972068,303.476676145862,303.840175113195,284.185651576273,334.881237020478
129.788599117182,380.142765071095,303.33206148265,304.636191292899,289.222903629795,334.425056704615
132.489176349698,393.048182749994,303.390111786007,302.19933204189,295.134126593499,334.594277609932
131.676322968549,393.299280890369,303.382828327674,303.420601059655,305.834180003551,333.931850525756
131.493247998224,405.122744213563,303.420190012998,303.548484108406,288.478608732382,332.986847309284
129.14262298494,386.239055051685,303.275205705502,303.256147832884,288.846538538316,334.665346724247
132.909593497398,378.886107490229,303.397686055758,303.714383256903,286.986072748863,334.879461615388
132.679835987452,372.089158837619,303.500024588026,303.22374489803,299.200706045578,335.148523244668
130.621631484992,397.406091900921,303.297449428344,305.2685871873,284.569366394489,334.415749147781
131.643432481343,367.517857730697,303.333298495674,305.814554049448,290.666533641834,335.542661000134
129.726601500312,375.687836364094,303.310790812716,305.464900089442,291.457609617217,335.308091239973
131.982853372415,374.520887993989,303.336897741214,303.617413918319,297.628224293019,334.855445122878
131.22933968886,383.592955118555,303.370646384409,300.8918811409,287.193216635996,335.088103510211
132.676493482519,380.403032336406,303.437720799649,303.52385455176,282.052878032161,334.513257281392
132.495889875603,374.573856253966,303.468467485712,304.417139409999,293.377613824715,335.88015586025
132.3752831825,368.904542937005,303.418830137103,306.116806974506,296.856497420416,334.950893046326
